00:11.008,0.079589844,0.07055664,0.9926758
00:11.010,0.09863281,0.12841797,0.9785156
00:11.119,0.03491211,0.08105469,1.0012207
00:11.262,0.08666992,0.08227539,0.98828125
00:11.405,0.08691406,0.02734375,0.98217773
00:11.513,0.1027832,0.039794922,1.0114746
00:11.652,0.13134766,0.067871094,0.94311523
00:11.767,0.12548828,0.05908203,0.9790039
00:11.898,0.14233398,0.009765625,0.97753906
00:12.042,0.13842773,0.029052734,0.9968262
00:12.164,0.14404297,0.03125,0.9794922
00:12.272,0.171875,0.027832031,0.9519043
00:12.405,0.14575195,0.021728516,0.9951172
00:12.546,0.15112305,0.020996094,0.97753906
00:12.653,0.15771484,0.033691406,0.99487305
00:12.789,0.15112305,0.032470703,0.9790039
00:12.936,0.15820313,0.035888672,0.98950195
00:13.076,0.1586914,0.0234375,0.98413086
00:13.174,0.15698242,0.028564453,0.99731445
00:13.302,0.15405273,0.021484375,0.9760742
00:13.444,0.15991211,0.034179688,0.9902344
00:13.552,0.15966797,0.022949219,0.96972656
00:13.691,0.16064453,0.034179688,0.97924805
00:13.798,0.15673828,0.034179688,0.9851074
00:13.956,0.15527344,0.03173828,0.9848633
00:14.062,0.15356445,0.03149414,0.9758301
00:14.183,0.15820313,0.041992188,0.99072266
00:14.336,0.15283203,0.022705078,0.98706055
00:14.446,0.15600586,0.032470703,0.97875977
00:14.576,0.1574707,0.03564453,0.98095703
00:14.710,0.15673828,0.029296875,0.98706055
00:14.820,0.15844727,0.034423828,0.9729004
00:14.963,0.16308594,0.036132813,0.9838867
00:15.098,0.14990234,0.038085938,1.0178223
00:15.207,0.29736328,-0.11645508,1.2133789
00:15.344,0.12231445,0.04345703,1.3464355
00:15.496,-0.12963867,0.12597656,0.92163086
00:15.607,-0.4814453,0.092285156,0.25683594
00:15.721,-0.88256836,-0.037597656,0.30932617
00:15.851,-0.94018555,-0.18408203,0.517334
00:15.991,-0.8508301,-0.111572266,0.51782227
00:16.097,-0.8330078,-0.075683594,0.5554199
00:16.241,-0.83496094,-0.08496094,0.5695801
00:16.365,-0.8215332,-0.095458984,0.55810547
00:16.497,-0.8261719,-0.08886719,0.560791
00:16.613,-0.8312988,-0.052246094,0.5739746
00:16.771,-0.82177734,-0.06762695,0.55908203
00:16.875,-0.8173828,-0.076660156,0.578125
00:17.010,-0.8076172,-0.053710938,0.58374023
00:17.119,-0.8029785,-0.04638672,0.60668945
00:17.290,-0.8430176,-0.107666016,0.55126953
00:17.377,-0.78149414,-0.056640625,0.5847168
00:17.517,-0.8046875,-0.08520508,0.5969238
00:17.675,-0.8137207,-0.0949707,0.57958984
00:17.793,-0.8125,-0.02758789,0.59033203
00:17.881,-0.8249512,-0.057373047,0.592041
00:18.019,-0.87158203,-0.063964844,0.5234375
00:18.152,-0.81225586,-0.07885742,0.54467773
